epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8202,2.76742,5.23356,2.48405,0,0,0,0,nan,nan,nan,0.00326241,0.00326241,0.0706383
2,34.082,2.39752,3.4958,2.46493,0,0,0,0,nan,nan,nan,0.00659503,0.00659503,0.0406376
3,51.1766,2.20891,3.00385,2.33174,0,0,0,0,nan,nan,nan,0.00992477,0.00992477,0.010634
4,67.997,2.17618,2.75183,2.29552,0.00016,0.01786,0.00027,0.00014,2.10261,30194.7,5.01471,0.00999023,0.00999023,0.00999023
5,84.3223,2.06019,2.28663,2.17741,0.00015,0.01786,9e-05,2e-05,2.43108,6.34609,4.53682,0.00998264,0.00998264,0.00998264
6,100.648,2.00774,2.09349,2.13351,0.79825,0.22969,0.2649,0.11119,1.21835,12.2869,1.34248,0.00997288,0.00997288,0.00997288
7,117.182,1.9035,1.91,2.04444,0.38561,0.09217,0.01066,0.00301,1.46879,8.74181,1.55652,0.00996097,0.00996097,0.00996097
8,133.66,1.86689,1.79123,2.03434,0.70606,0.48028,0.57207,0.27331,0.99352,4.0076,1.16993,0.0099469,0.0099469,0.0099469
9,150.338,1.85149,1.66045,2.03374,0.79371,0.59656,0.67408,0.29852,1.01631,1.0368,1.19642,0.00993068,0.00993068,0.00993068
10,167.137,1.77623,1.67276,1.95157,0.94032,0.40214,0.61551,0.31999,0.85468,1.2616,1.06085,0.00991232,0.00991232,0.00991232
11,184.004,1.77679,1.63387,1.97948,0.76892,0.73214,0.74203,0.33979,0.88881,1.02685,1.0789,0.00989183,0.00989183,0.00989183
12,200.904,1.72292,1.55755,1.92233,0.91782,0.58889,0.67555,0.39179,0.79887,2.23971,0.98736,0.00986922,0.00986922,0.00986922
13,217.809,1.7051,1.46202,1.8784,0.75584,0.60058,0.70109,0.37907,0.90231,1.01394,1.09988,0.00984449,0.00984449,0.00984449
14,234.604,1.65533,1.44638,1.87655,0.69948,0.45777,0.51454,0.28035,0.85578,1.35326,1.03824,0.00981765,0.00981765,0.00981765
15,251.398,1.62625,1.49756,1.87648,0.85014,0.77447,0.80633,0.45066,0.78422,0.72205,0.97297,0.00978873,0.00978873,0.00978873
16,268.555,1.6337,1.38932,1.87027,0.85917,0.7667,0.81533,0.44474,0.82831,0.57329,0.97965,0.00975773,0.00975773,0.00975773
17,285.408,1.61809,1.34714,1.88883,0.62792,0.81657,0.76103,0.44218,0.76889,0.61357,0.9405,0.00972466,0.00972466,0.00972466
18,302.319,1.53522,1.22993,1.74748,0.93219,0.73136,0.79184,0.46548,0.74784,0.8685,0.93321,0.00968955,0.00968955,0.00968955
19,319.49,1.50923,1.21699,1.75278,0.61083,0.60018,0.69182,0.41595,0.80785,0.74179,1.0023,0.00965239,0.00965239,0.00965239
20,336.483,1.62137,1.30806,1.86268,0.81229,0.70078,0.82348,0.4783,0.72098,0.81888,0.9072,0.00961322,0.00961322,0.00961322
21,353.672,1.5128,1.28509,1.73833,0.933,0.61918,0.67721,0.47277,0.75879,1.02817,0.95263,0.00957205,0.00957205,0.00957205
22,370.77,1.46043,1.19073,1.70482,0.82171,0.67445,0.71557,0.45414,0.81406,1.26076,1.00059,0.00952889,0.00952889,0.00952889
23,387.979,1.47012,1.17448,1.67102,0.77249,0.78075,0.81022,0.45711,0.70623,1.7115,0.91898,0.00948377,0.00948377,0.00948377
24,405.118,1.4964,1.27844,1.70779,0.9413,0.6818,0.72454,0.4245,0.79494,5.08224,1.03381,0.00943671,0.00943671,0.00943671
25,422.224,1.4858,1.23812,1.70637,0.80759,0.82162,0.82663,0.45776,0.72035,2.95284,0.91828,0.00938772,0.00938772,0.00938772
26,439.314,1.47317,1.16629,1.69832,0.74052,0.86625,0.84411,0.49018,0.69736,1.17692,0.88963,0.00933683,0.00933683,0.00933683
27,456.604,1.41539,1.132,1.64946,0.73327,0.92774,0.84715,0.47736,0.69703,0.50721,0.89671,0.00928405,0.00928405,0.00928405
28,473.722,1.45483,1.1131,1.68162,0.84763,0.83689,0.89127,0.53268,0.65887,0.60033,0.86185,0.00922942,0.00922942,0.00922942
29,491.088,1.42987,1.12662,1.63168,0.75224,0.92412,0.89844,0.53472,0.6593,0.65619,0.86034,0.00917296,0.00917296,0.00917296
30,508.412,1.39849,1.10212,1.65544,0.87141,0.84216,0.90148,0.54261,0.6496,1.17652,0.86447,0.00911469,0.00911469,0.00911469
31,525.736,1.37982,1.03376,1.61435,0.93386,0.78214,0.83401,0.54902,0.67278,0.49775,0.86894,0.00905463,0.00905463,0.00905463
32,543.08,1.34436,1.03877,1.60035,0.86555,0.85714,0.91427,0.57103,0.65615,1.11308,0.86394,0.00899282,0.00899282,0.00899282
33,560.353,1.35477,1.04494,1.61064,0.7758,0.84046,0.86461,0.51853,0.66751,0.60071,0.83423,0.00892928,0.00892928,0.00892928
34,577.484,1.39578,1.09468,1.64346,0.75966,0.90139,0.93962,0.57743,0.61904,0.91335,0.8429,0.00886404,0.00886404,0.00886404
35,594.741,1.33633,1.00694,1.57856,0.83412,0.87681,0.9177,0.58235,0.61772,0.48657,0.83337,0.00879713,0.00879713,0.00879713
36,612.129,1.35924,1.05629,1.57177,0.78342,0.91124,0.91934,0.54945,0.62506,0.64188,0.82579,0.00872857,0.00872857,0.00872857
37,629.229,1.3265,0.94656,1.58195,0.8522,0.94084,0.94743,0.60276,0.57674,0.81191,0.77924,0.00865839,0.00865839,0.00865839
38,646.603,1.29778,1.00304,1.53018,0.85198,0.94371,0.9445,0.58525,0.63952,1.01962,0.83561,0.00858664,0.00858664,0.00858664
